,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
0,SKECHERS_1622400297,2021-05-30,Road tested men’s cushioned comfort casuals with enhanced grip! #Skechers #mens #Goodyear #style,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s526x395/193261956_10157653643782587_7346120623619297941_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=oHXFO3KDejMAX_vuHns&_nc_ht=scontent-iad3-1.xx&tp=7&oh=fe40c8ce1422590b13872d536e5cc21f&oe=60DE0F12'],Yes,,No,"['https://www.facebook.com/commerce/products/3053593914682900/', 'https://www.facebook.com/commerce/products/6511058942253707/']",Yes
1,SKECHERS_1622217359,2021-05-28,"Easy, breezy and totally beautiful! 💙👟💗 #Skechers # #slipon",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s480x480/186556602_10157649691082587_6060716454232630003_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=9QcR8YPFkMAAX-ZqWka&_nc_ht=scontent-iad3-1.xx&tp=7&oh=911b48a4ec9bfd6048b537c9a23ab30a&oe=60DCCAF5'],Yes,,No,[],No
2,SKECHERS_1621958228,2021-05-25,"Whether you get there fast, or get there slow - think of all the places you'll go! These perfectly pastel Skechers X Dr. Seuss sneakers are available now 💙💛💗 📚 #SkechersxDrSeuss #SeussStories #DrSeuss #Skechers","['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/187911724_10157643854172587_866545054246713943_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=dudJsZRSzs0AX9I09OD&_nc_ht=scontent-iad3-1.xx&tp=6&oh=6ee4dc7031c8352b004e4eca375b508d&oe=60DDBBB9', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/188465206_10157643854177587_8956993699138124429_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=Iwj7TeW_VPQAX9pk-Br&_nc_ht=scontent-iad3-1.xx&tp=6&oh=f53bf1fefd348fa9a2a936b0fe6361f7&oe=60DC9B89']",Yes,,No,[],No
3,SKECHERS_1621267289,2021-05-17,,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/c125.0.601.315a/s526x296/156623795_10157473311782587_7108188974430361264_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=dd9801&_nc_ohc=LCj8TXDRYQoAX8HliU5&_nc_ht=scontent-iad3-1.xx&tp=28&oh=a98eb31674edade6892652dc03a01649&oe=60DD7C3E'],Yes,,No,[],No
4,SKECHERS_1620057786,2021-05-03,Find your sole-mate! The latest collection of Skechers X JGoldcrown style are online NOW! Add a little love to your day! 💗🙌👟 #SkechersXJGoldcrown #muralist #fashion #love #lovewall #bleedinghearts,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/182122315_10157599143757587_2836872326613795998_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=f4nGSfsbo2YAX839JKC&_nc_ht=scontent-iad3-1.xx&tp=6&oh=85368b91b13687af552c59b179b05ff0&oe=60DC4216'],Yes,,No,['https://www.facebook.com/commerce/products/4400051070019160/'],Yes
5,SKECHERS_1619114343,2021-04-22,"The Earth is one thing we all have in common, so let's make today (and every day!) a little greener. Our new Bobs Earth collection are made from sustainable materials, because Our Planet Matters! 👟🌎 # #BobsfromSkechers #recycled",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/176794297_10157577624337587_5975712363840168716_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=VOiQzt0r2UIAX8sXg9M&_nc_ht=scontent-iad3-1.xx&tp=6&oh=3d7d1679005806fbdb623f4e84e8970f&oe=60DE83C2'],Yes,,No,[],No
6,SKECHERS_1618938902,2021-04-20,As good as gold 👟✨ #SkechersGirls #fashion #style,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/176252534_10157573739932587_5453108818063306548_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=dZtwgFOgVMMAX-Np-6r&_nc_ht=scontent-iad3-1.xx&tp=6&oh=2075f3a3c2be928b96e4fb58b83ede83&oe=60DF2F2D'],Yes,,No,[],No
7,SKECHERS_1618867360,2021-04-19,Color crushing on these eye-catching Uno sneaks 🌈 👟🌟 #Skechers #UNO #fashion #rainbowstyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/176147948_10157572079087587_8107694196952637386_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=TeCs26J6m20AX9s_cZM&_nc_ht=scontent-iad3-1.xx&tp=6&oh=3338ece0aae0fc8ba379320d2b11e58e&oe=60DCCAE2'],Yes,,No,[],No
8,SKECHERS_1618243859,2021-04-12,Keep your style sharp and comfortable 👞 #MarkNason #sleek #style #mens #MarkNasonLosAngeles,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/171366557_10157558593577587_1046088717587439627_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=lANj5FN0D1gAX97074G&_nc_ht=scontent-iad3-1.xx&tp=6&oh=bd98573a9082c4d57cf865ede2a5ec1f&oe=60DCC5E9'],Yes,,No,['https://www.facebook.com/commerce/products/3041930692592052/'],Yes
9,SKECHERS_1618158566,2021-04-11,"Nature and comfort inspired, experience our exclusive new Sherpa collection 🙌🏻👟 #Skechers #Sherpa #mens #comfort #",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/170176159_10157556714232587_568165188319470409_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=JygkLtL93-oAX9rPADo&_nc_ht=scontent-iad3-1.xx&tp=6&oh=c21e499758ddb77a1f13ad5f44bb9365&oe=60DF04C3'],Yes,,No,[],No
